Description model^Car make^Sub category^category path^SKU-CAR^SKU-MODEL^Roof bars mounting^body type^^Bol car models^Variants
RDX I^Acura^RDX I | 2007-2012^Acura[RDX I | 2007-2012^ACU^RX^^suv^^^
1 Series Coupé (E82 - E88)^BMW^1 Series (E87 - E81) | 2004-2011^BMW[1 Series (E87 - E81) | 2004-2011^BMW^1S^Mounting on fixed mounting points^2d^^BMW 1- serie^
1 Series Coupé (E82)^BMW^1 Series (E87 - E81) | 2004-2011^BMW[1 Series (E87 - E81) | 2004-2011^BMW^1S^Mounting on fixed mounting points^2d^^BMW 1- serie^
2 Series Cabriolet (F23)^BMW^2 Series (F22 - F23) | 2014-2021^BMW[2 Series (F22 - F23) | 2014-2021^BMW^2S^^2d^^BMW 2- serie^
2 Series Coupé (F22)^BMW^2 Series (F22 - F23) | 2014-2021^BMW[2 Series (F22 - F23) | 2014-2021^BMW^2S^^3d^^BMW 2- serie^
2 Series Coupé (F22) - Cabriolet (F23)^BMW^2 Series (F22 - F23) | 2014-2021^BMW[2 Series (F22 - F23) | 2014-2021^BMW^2S^^2d^^BMW 2- serie^
2 Series Coupé (G42)^BMW^2 Series (G42 - G43) | 2021-present^BMW[2 Series (G42 - G43) | 2021-present^BMW^2S^^2d^^BMW 2 Serie G42^
2 Series Active Tourer (F45)^BMW^2 Series Active Tourer (F45) | 2014-2021^BMW[2 Series Active Tourer (F45) | 2014-2021^BMW^2A^For models without roof rails^mpv^^BMW 2 Serie F45^
2 Series Active Tourer (U06)^BMW^2 Series Active Tourer (U06) | 2021-present^BMW[2 Series Active Tourer (U06) | 2021-present^BMW^2A^^wagon^^BMW 2 Serie U06^
2 Series Gran Tourer (F46)^BMW^2 Series Gran Tourer (F46) | 2015-2022^BMW[2 Series Gran Tourer (F46) | 2015-2022^BMW^2G^For models without roof rails^wagon^^BMW 2- serie^
2 Series Gran Coupé (F44)^BMW^2 Series Gran Coupé (F44) | 2019-present^BMW[2 Series Gran Coupé (F44) | 2019-present^BMW^2C^^coupé^^BMW 2- serie^
2 Series Gran Coupé (F74)^BMW^2 Series Gran Coupé (F74) | 2025-present^BMW[2 Series Gran Coupé (F74) | 2025-present^BMW^2C^^coupé^^BMW 2- serie^
3 Series (E21)^BMW^3 Series (E21) | 1975-1981^BMW[3 Series (E21) | 1975-1981^BMW^3S^^2d^^BMW 3- serie^
3 Series (E30)^BMW^3 Series (E30) | 1982-1990^BMW[3 Series (E30) | 1982-1990^BMW^3S^^2d^^BMW 3 Serie E30^
3 Series (E36)^BMW^3 Series (E36) | 1991-1999^BMW[3 Series (E36) | 1991-1999^BMW^3S^^4d^^BMW 3 Serie E36^
3 Series (E46)^BMW^3 Series (E46) | 1998-2005^BMW[3 Series (E46) | 1998-2005^BMW^3S^Mounting on fixed mounting points^2d & 4d^^BMW 3 Serie E46^
3 Series (E46) ^BMW^3 Series (E46) | 1998-2005^BMW[3 Series (E46) | 1998-2005^BMW^3S^Mounting on fixed mounting points^4d^^BMW 3- serie^
3 Series (E90)^BMW^3 Series (E90) | 2005-2012^BMW[3 Series (E90) | 2005-2012^BMW^3S^Mounting on fixed mounting points^4d^^BMW 3 Serie E90/E91^
3 Series (F30)^BMW^3 Series (F30) | 2012-2019^BMW[3 Series (F30) | 2012-2019^BMW^3S^Mounting on fixed mounting points^4d^^BMW 3 Serie F30/F31^
3 Series (G20)^BMW^3 Series (G20) | 2019-present^BMW[3 Series (G20) | 2019-present^BMW^3S^^4d^^BMW 3 Serie G20/G21^
3 Series Cabriolet (E30)^BMW^3 Series (E30) | 1982-1990^BMW[3 Series (E30) | 1982-1990^BMW^3S^^2d^^BMW 3 Serie E30^
3 Series Cabriolet (E36)^BMW^3 Series (E36) | 1991-1999^BMW[3 Series (E36) | 1991-1999^BMW^3S^^2d^^BMW 3 Serie E36^
3 Series Cabriolet (E46)^BMW^3 Series (E46) | 1998-2005^BMW[3 Series (E46) | 1998-2005^BMW^3S^Mounting on fixed mounting points^2d^^BMW 3 Serie E46^
3 Series Cabriolet (E46) ^BMW^3 Series (E46) | 1998-2005^BMW[3 Series (E46) | 1998-2005^BMW^3S^Mounting on fixed mounting points^2d^^BMW 3- serie^
3 Series Cabriolet (E93)^BMW^3 Series Cabriolet (E93) | 2007-2013^BMW[3 Series Cabriolet (E93) | 2007-2013^BMW^3S^^2d^^BMW 3 Serie E93^
3 Series Cabriolet (E93) ^BMW^3 Series Cabriolet (E93) | 2007-2013^BMW[3 Series Cabriolet (E93) | 2007-2013^BMW^3S^^2d^^BMW 3- serie^
3 Series Compact (E36)^BMW^3 Series (E36) | 1991-1999^BMW[3 Series (E36) | 1991-1999^BMW^3S^^3d^^BMW 3- serie^
3 Series Compact (E46)^BMW^3 Series (E46) | 1998-2005^BMW[3 Series (E46) | 1998-2005^BMW^3S^Mounting on fixed mounting points^3d^^BMW 3- serie^
3 Series Coupé (E30)^BMW^3 Series (E30) | 1982-1990^BMW[3 Series (E30) | 1982-1990^BMW^3S^^2d^^BMW 3- serie^
3 Series Coupé (E36)^BMW^3 Series (E36) | 1991-1999^BMW[3 Series (E36) | 1991-1999^BMW^3S^^2d^^BMW 3- serie^
3 Series Coupé (E46)^BMW^3 Series (E46) | 1998-2005^BMW[3 Series (E46) | 1998-2005^BMW^3S^Mounting on fixed mounting points^2d^^BMW 3- serie^
3 Series Coupé (E46) ^BMW^3 Series (E46) | 1998-2005 ^BMW[3 Series (E46) | 1998-2005 ^BMW^3S^^2d^^BMW 3- serie^
3 Series Coupé (E92)^BMW^3 Series Coupe (E92) | 2006-2013^BMW[3 Series Coupe (E92) | 2006-2013^BMW^3S^Mounting on fixed mounting points^3d^^BMW 3 Serie E92^
3 Series GT (F34)^BMW^3 Series GT (F34) | 2013-2020^BMW[3 Series GT (F34) | 2013-2020^BMW^3S^^5d^^BMW 3 Serie F34^
3 Series Touring (E30)^BMW^3 Series Touring (E30) | 1987-1993^BMW[3 Series Touring (E30) | 1987-1993^BMW^3S^^wagon^^BMW 3- serie^
3 Series Touring (E36)^BMW^3 Series Touring (E36) | 1995-1999^BMW[3 Series Touring (E36) | 1995-1999^BMW^3S^^wagon^^BMW 3- serie^
3 Series Touring (E46)^BMW^3 Series Touring (E46) | 1999-2005^BMW[3 Series Touring (E46) | 1999-2005^BMW^3S^^wagon^^BMW 3- serie^
3 Series Touring (E91)^BMW^3 Series Touring (E91) | 2005-2012^BMW[3 Series Touring (E91) | 2005-2012^BMW^3S^For models without roof rails; Mounting on fixed mounting points^wagon^^BMW 3 Serie E90/E91^
3 Series Touring (F31)^BMW^3 Series Touring (F31) | 2012-2019^BMW[3 Series Touring (F31) | 2012-2019^BMW^3S^^wagon^^BMW 3 Serie F30/F31^
3 Series Touring (G21)^BMW^3 Series Touring (G21) | 2019-present^BMW[3 Series Touring (G21) | 2019-present^BMW^3S^^wagon^^BMW 3 Serie G20/G21^
4 Series Cabriolet (F33)^BMW^4 Series (F32 - F36) | 2013-2020^BMW[4 Series (F32 - F36) | 2013-2020^BMW^4S^Mounting on fixed mounting points^2d^^BMW 4- serie^
4 Series Coupé (F32)^BMW^4 Series (F32 - F36) | 2013-2020^BMW[4 Series (F32 - F36) | 2013-2020^BMW^4S^Mounting on fixed mounting points^2d^^BMW 4- serie^
4 Series Gran Coupé (F36)^BMW^4 Series (F32 - F36) | 2013-2020^BMW[4 Series (F32 - F36) | 2013-2020^BMW^4S^Mounting on fixed mounting points^4d coupé^^BMW 4 Serie F36^
4 Series Coupé (G22)^BMW^4 Series (G22 - G23 - G26) | 2020-present^BMW[4 Series (G22 - G23 - G26) | 2020-present^BMW^4S^Mounting on fixed mounting points^2d^^BMW 4- serie^
4 Series Cabriolet (G23)^BMW^4 Series (G22 - G23 - G26) | 2020-present^BMW[4 Series (G22 - G23 - G26) | 2020-present^BMW^4S^Mounting on fixed mounting points^2d^^BMW 4- serie^
4 Series Gran Coupé (G26)^BMW^4 Series (G22 - G23 - G26) | 2020-present^BMW[4 Series (G22 - G23 - G26) | 2020-present^BMW^4S^Mounting on fixed mounting points^4d coupé^^BMW 4 Serie G26^
5 Series (E28)^BMW^5 Series (E28) | 1981-1987^BMW[5 Series (E28) | 1981-1987^BMW^5S^^4d^^BMW 5- serie^
5 Series (E34)^BMW^5 Series (E34) | 1987-1996^BMW[5 Series (E34) | 1987-1996^BMW^5S^^4d^^BMW 5 Serie E34^
5 Series (E39)^BMW^5 Series (E39) | 1996-2004^BMW[5 Series (E39) | 1996-2004^BMW^5S^Mounting on fixed mounting points^4d^^BMW 5 Serie E39^
5 Series (E60)^BMW^5 Series (E60) | 2003-2010^BMW[5 Series (E60) | 2003-2010^BMW^5S^For models without roof rails^4d^^BMW 5 Serie E60/E61^
5 Series (F10)^BMW^5 Series (F10) | 2010-2017^BMW[5 Series (F10) | 2010-2017^BMW^5S^Mounting on fixed mounting points^4d^^BMW 5 Serie F10/F11^
5 Series (G30)^BMW^5 Series (G30) | 2017-2023^BMW[5 Series (G30) | 2017-2023^BMW^5S^Mounting on fixed mounting points^4d^^BMW 5 Serie G30/G31^
5 Series (G60)^BMW^5 Series (G60) | 2023-present^BMW[5 Series (G60) | 2023-present^BMW^5S^^4d^^BMW 5 Serie G60/G61^
5 Series (G68)^BMW^5 Series (G60) | 2023-present^BMW[5 Series (G60) | 2023-present^BMW^5S^^4d^^BMW 5- serie^
5 Series GT (F07)^BMW^5 Series GT (F07) | 2009-2017^BMW[5 Series GT (F07) | 2009-2017^BMW^5S^^wagon^^BMW 5 Serie F07^
5 Series Touring (E34)^BMW^5 Series Touring (E34) | 1992-1996^BMW[5 Series Touring (E34) | 1992-1996^BMW^5S^^wagon^^BMW 5 Serie E34^
5 Series Touring (E39)^BMW^5 Series (E39) | 1996-2004^BMW[5 Series (E39) | 1996-2004^BMW^5S^Mounting on fixed mounting points^wagon^^BMW 5 Serie E39^
5 Series Touring (E61)^BMW^5 Series Touring (E61) | 2003-2010^BMW[5 Series Touring (E61) | 2003-2010^BMW^5S^For models without roof rails^wagon^^BMW 5 Serie E60/E61^
5 Series Touring (F11)^BMW^5 Series Touring (F11) | 2010-2017^BMW[5 Series Touring (F11) | 2010-2017^BMW^5S^For models without roof rails^wagon^^BMW 5 Serie F10/F11^
5 Series Touring (G31)^BMW^5 Series Touring (G31) | 2017-2024^BMW[5 Series Touring (G31) | 2017-2024^BMW^5S^For models without roof rails^wagon^^BMW 5 Serie G30/G31^
5 Series Touring (G61)^BMW^5 Series Touring (G61) | 2024-present^BMW[5 Series Touring (G61) | 2024-present^BMW^5S^^wagon^^BMW 5 Serie G60/G61^
6 Series (E24)^BMW^6 Series (E24) | 1976-1989 ^BMW[6 Series (E24) | 1976-1989 ^BMW^6S^^coupé^^BMW 6- serie^
6 Series Cabriolet (E64)^BMW^6 Series (E63 - E64) | 2003-2010^BMW[6 Series (E63 - E64) | 2003-2010^BMW^6S^^2d^^BMW 6- serie^
6 Series Cabriolet (F12)^BMW^6 Series (F06 - F12 - F13) | 2011-2018^BMW[6 Series (F06 - F12 - F13) | 2011-2018^BMW^6S^^2d^^BMW 6 Serie F12/F13^
6 Series Coupé (E63)^BMW^6 Series (E63 - E64) | 2003-2010^BMW[6 Series (E63 - E64) | 2003-2010^BMW^6S^^2d^^BMW 6 Serie E63^
6 Series Coupé (F13)^BMW^6 Series (F06 - F12 - F13) | 2011-2018^BMW[6 Series (F06 - F12 - F13) | 2011-2018^BMW^6S^^2d^^BMW 6 Serie F12/F13^
6 Series Gran Coupé (F06)^BMW^6 Series (F06 - F12 - F13) | 2011-2018^BMW[6 Series (F06 - F12 - F13) | 2011-2018^BMW^6S^^4d coupé^^BMW 6- serie^
6 Series GT (G32)^BMW^6 Series GT (G32) | 2017-present^BMW[6 Series GT (G32) | 2017-present^BMW^6S^Mounting on fixed mounting points^4d^^BMW 6- serie^
7 Series (E23)^BMW^7 Series (E23) | 1977-1986^BMW[7 Series (E23) | 1977-1986^BMW^7S^^4d^^BMW 7- serie^
7 Series (E32)^BMW^7 Series (E32) | 1986-1994^BMW[7 Series (E32) | 1986-1994^BMW^7S^^4d^^BMW 7- serie^
7 Series (E38)^BMW^7 Series (E38) | 1994-2001^BMW[7 Series (E38) | 1994-2001^BMW^7S^^4d^^BMW 7- serie^
7 Series (E65 - E66)^BMW^7 Series (E65 - E66) | 2001-2008^BMW[7 Series (E65 - E66) | 2001-2008^BMW^7S^^4d^^BMW 7 Serie E65/E66^
7 series (E65)^BMW^7 Series (E65 - E66) | 2001-2008^BMW[7 Series (E65 - E66) | 2001-2008^BMW^7S^^4d^^BMW 7 Serie E65/E66^
7 Series (E66)^BMW^7 Series (E65 - E66) | 2001-2008^BMW[7 Series (E65 - E66) | 2001-2008^BMW^7S^^4d^^BMW 7 Serie E65/E66^
7 Series (F01)^BMW^7 Series (F01) | 2008-2015^BMW[7 Series (F01) | 2008-2015^BMW^7S^^4d^^BMW 7 Serie F01/F02^
7 Series (F01-F02)^BMW^7 Series (F01) | 2008-2015^BMW[7 Series (F01) | 2008-2015^BMW^7S^^4d^^BMW 7 Serie F01/F02^
7 Series (G11 - G12)^BMW^7 Series (G11 - G12) | 2015-2022^BMW[7 Series (G11 - G12) | 2015-2022^BMW^7S^Mounting on fixed mounting points^4d^^BMW 7 Serie G11/G12^
7 Series (G11)^BMW^7 Series (G11 - G12) | 2015-2022^BMW[7 Series (G11 - G12) | 2015-2022^BMW^7S^Mounting on fixed mounting points^4d^^BMW 7 Serie G11/G12^
7 Series (G70)^BMW^7 Series (G70) | 2022-present^BMW[7 Series (G70) | 2022-present^BMW^7S^^4d^^BMW 7- serie^
8 Series Cabriolet (G14)^BMW^8 Series Coupé (G15) - Cabriolet (G14) | 2018-present^BMW[8 Series Coupé (G15) - Cabriolet (G14) | 2018-present^BMW^8S^Mounting on fixed mounting points^2d^^BMW 8- serie^
8 Series Coupé (G15)^BMW^8 Series Coupé (G15) - Cabriolet (G14) | 2018-present^BMW[8 Series Coupé (G15) - Cabriolet (G14) | 2018-present^BMW^8S^Mounting on fixed mounting points^2d^^BMW 8- serie^
8 Series Coupé (G15) - Cabriolet (G14)^BMW^8 Series Coupé (G15) - Cabriolet (G14) | 2018-present^BMW[8 Series Coupé (G15) - Cabriolet (G14) | 2018-present^BMW^8S^Mounting on fixed mounting points^2d^^BMW 8- serie^
8 series Gran Coupé (G16)^BMW^8 Series Gran Coupé (G16) | 2019-present^BMW[8 Series Gran Coupé (G16) | 2019-present^BMW^8S^^4d sedan^^BMW 8- serie^
E9^BMW^E9 | 1968-1975^BMW[E9 | 1968-1975^BMW^E9^^coupé^^BMW 6 Series E9^
i3 (I01)^BMW^i3 (I01) | 2013-2022^BMW[i3 (I01) | 2013-2022^BMW^I3^^5d^^BMW i3^
i4 (G26)^BMW^i4 (G26) | 2021-present^BMW[i4 (G26) | 2021-present^BMW^I4^^4d^^BMW i4^
i5 (G60)^BMW^i5 (G60) | 2023-present^BMW[i5 (G60) | 2023-present^BMW^I5^^4d^^BMW i5^
i5 Touring (G61)^BMW^i5 Touring (G61) | 2024-present^BMW[i5 Touring (G61) | 2024-present^BMW^I5^^wagon^^BMW i5^
i7 (G70)^BMW^i7 (G70) | 2022-present^BMW[i7 (G70) | 2022-present^BMW^I7^^4d^^BMW i7^
iX (I20)^BMW^iX (I20) | 2021-present^BMW[iX (I20) | 2021-present^BMW^IX^^suv^^BMW iX^
iX1 (U11)^BMW^iX1 (U11) | 2022-present^BMW[iX1 (U11) | 2022-present^BMW^X1^^suv^^BMW iX1^
iX2 (U10)^BMW^iX2 (U10) | 2023-present^BMW[iX2 (U10) | 2023-present^BMW^X2^^suv^^BMW X2^
iX3 (G08)^BMW^iX3 (G08) | 2020-2025^BMW[iX3 (G08) | 2020-2025^BMW^X3^^suv^^BMW iX3^
iX3 (NA5)^BMW^iX3 (NA5) | 2025-present^BMW[iX3 (NA5) | 2025-present^BMW^X3^^suv^^BMW iX3^
X1 (E84)^BMW^X1 (E84) | 2009-2015^BMW[X1 (E84) | 2009-2015^BMW^X1^For models without roof rails^suv^^BMW X1 E84^
X1 (F48)^BMW^X1 (F48) | 2015-2022^BMW[X1 (F48) | 2015-2022^BMW^X1^For models without roof rails^suv^^BMW X1 F48^
X1 (U11)^BMW^X1 (U11) | 2022-present^BMW[X1 (U11) | 2022-present^BMW^X1^^suv^^BMW X1 U11^
X2 (F39)^BMW^X2 (F39) | 2018-2023^BMW[X2 (F39) | 2018-2023^BMW^X2^For models without roof rails^suv^^BMW X2^
X2 (U10)^BMW^X2 (U10) | 2023-present^BMW[X2 (U10) | 2023-present^BMW^X2^For models without roof rails^suv^^BMW X2^
X3 (E83)^BMW^X3 (E83) | 2004-2010^BMW[X3 (E83) | 2004-2010^BMW^X3^For models without roof rails^suv^^BMW X3^
X3 (F25)^BMW^X3 (F25) | 2010-2017^BMW[X3 (F25) | 2010-2017^BMW^X3^For models without roof rails^suv^^BMW X3 F25^
X3 (G01)^BMW^X3 (G01) | 2017-2024^BMW[X3 (G01) | 2017-2024^BMW^X3^^suv^^BMW X3^
X3 (G45)^BMW^X3 (G45) | 2024-present^BMW[X3 (G45) | 2024-present^BMW^X3^^suv^^BMW X3^
X4 (F26)^BMW^X4 (F26) | 2014-2018^BMW[X4 (F26) | 2014-2018^BMW^X4^For models without roof rails^suv^^BMW X4^
X4 (G02)^BMW^X4 (G02) | 2018-present^BMW[X4 (G02) | 2018-present^BMW^X4^For models without roof rails^suv^^BMW X4^
X5 (E53)^BMW^X5 (E53) | 1999-2006^BMW[X5 (E53) | 1999-2006^BMW^X5^^suv^^BMW X5 E53^
X5 (E70)^BMW^X5 (E70) | 2007-2013^BMW[X5 (E70) | 2007-2013^BMW^X5^^suv^^BMW X5 E70^
X5 (F15)^BMW^X5 (F15) | 2013-2018^BMW[X5 (F15) | 2013-2018^BMW^X5^For models without roof rails^suv^^BMW X5 F15^
"X5 (F15) ""M"""^BMW^X5 (F15) | 2013-2018^BMW[X5 (F15) | 2013-2018^BMW^X5^For models without roof rails^suv^^BMW X5 F15^
X5 (G05)^BMW^X5 (G05) | 2018-present^BMW[X5 (G05) | 2018-present^BMW^X5^For models without roof rails^suv^^BMW X5^
X6 (E71)^BMW^X6 (E71) | 2008-2014^BMW[X6 (E71) | 2008-2014^BMW^X6^For models without roof rails^suv^^BMW X6^
X6 (F16)^BMW^X6 (F16) | 2014-2019^BMW[X6 (F16) | 2014-2019^BMW^X6^For models without roof rails^suv^^BMW X6^
X6 (G06)^BMW^X6 (G06) | 2019-present^BMW[X6 (G06) | 2019-present^BMW^X6^For models without roof rails^suv^^BMW X6^
X7 (G07)^BMW^X7 (G07) | 2018-present^BMW[X7 (G07) | 2018-present^BMW^X7^^suv^^BMW X7 G07^
XM (G09)^BMW^XM (G09) | 2022-present^BMW[XM (G09) | 2022-present^BMW^XM^^suv^^BMW^
Z1 (E30)^BMW^Z1 (E30) | 1988-1991^BMW[Z1 (E30) | 1988-1991^BMW^Z1^^cabriolet^^BMW Z1^
Z3 (E36/7 - E36/8)^BMW^Z3 (E36/7 - E36/8) | 1996-2002^BMW[Z3 (E36/7 - E36/8) | 1996-2002^BMW^Z3^^coupé & cabriolet^^BMW Z3^
Z3 Roadster (E36/7)^BMW^Z3 (E36/7 - E36/8) | 1996-2002^BMW[Z3 (E36/7 - E36/8) | 1996-2002^BMW^Z3^^coupé & cabriolet^^BMW Z3 E36/7^
Z3 Roadster (E36/8)^BMW^Z3 (E36/7 - E36/8) | 1996-2002^BMW[Z3 (E36/7 - E36/8) | 1996-2002^BMW^Z3^^coupé & cabriolet^^BMW Z3^
Z4 (E85)^BMW^Z4 (E85 - E86) | 2002-2009^BMW[Z4 (E85 - E86) | 2002-2009^BMW^Z4^^coupé & cabriolet^^BMW Z4^
Z4 Roadster (E85)^BMW^Z4 (E85 - E86) | 2002-2009^BMW[Z4 (E85 - E86) | 2002-2009^BMW^Z4^^coupé & cabriolet^^BMW Z4^
Z4 (E86)^BMW^Z4 (E85 - E86) | 2002-2009^BMW[Z4 (E85 - E86) | 2002-2009^BMW^Z4^^coupé^^BMW Z4^
Z4 (E85 - E86)^BMW^Z4 (E85 - E86) | 2002-2009^BMW[Z4 (E85 - E86) | 2002-2009^BMW^Z4^^coupé & cabriolet^^BMW Z4^
Z4 (E89)^BMW^Z4 (E89) | 2009-2016^BMW[Z4 (E89) | 2009-2016^BMW^Z4^^cabriolet^^BMW Z4^
Z4 Roadster (E89)^BMW^Z4 (E89) | 2009-2016^BMW[Z4 (E89) | 2009-2016^BMW^Z4^^cabriolet^^BMW Z4^
Z4 (G29)^BMW^Z4 (G29) | 2018-present^BMW[Z4 (G29) | 2018-present^BMW^Z4^^cabriolet^^BMW Z4^
Z8 (E52)^BMW^Z8 (E52) | 2000-2003^BMW[Z8 (E52) | 2000-2003^BMW^Z8^^cabriolet^^BMW^
Atto 2^BYD^Atto 2 | 2024-present^BYD[Atto 2 | 2024-present^BYD^A2^^suv^^^
Atto 3^BYD^Atto 3 | 2022-present^BYD[Atto 3 | 2022-present^BYD^A3^^suv^^BYD Atto 3^
Dolphin^BYD^Dolphin | 2021-present^BYD[Dolphin | 2021-present^BYD^DO^^5d^^Byd Dolphin^
Dolphin Surf^BYD^Dolphin Surf | 2025-present^BYD[Dolphin Surf | 2025-present^BYD^DO^^5d^^Byd Dolphin^
ETP3^BYD^ETP3 | 2024-present^BYD[ETP3 | 2024-present^BYD^E3^^van^^BYD ETP3^
Han^BYD^Han | 2020-present^BYD[Han | 2020-present^BYD^HA^^4d^^BYD HAN^
Seal^BYD^Seal | 2022-present^BYD[Seal | 2022-present^BYD^SE^^4d^^BYD SEAL^
Seal U^BYD^Seal U | 2023-present^BYD[Seal U | 2023-present^BYD^SU^^suv^^BYD Seal U^
Seal U DM-i^BYD^Seal U | 2023-present^BYD[Seal U | 2023-present^BYD^SU^^suv^^BYD Seal U^
Seal 5 DM-i^BYD^Seal 5 DM-i | 2025-present^BYD[Seal 5 DM-i | 2025-present^BYD^SE^^4d^^BYD SEAL^
Seal 6 DM-i^BYD^Seal 6 DM-i | 2024-present^BYD[Seal 6 DM-i | 2024-present^BYD^SE^^4d^^BYD SEAL^
Seal 6 DM-i Touring^BYD^Seal 6 DM-i Touring | 2025-present^BYD[Seal 6 DM-i Touring | 2025-present^BYD^SE^^wagon^^BYD SEAL^
Sealion 5 DM-i^BYD^Sealion 5 DM-i | 2024-present^BYD[Sealion 5 DM-i | 2024-present^BYD^S5^^suv^^BYD Sealion 7^
Sealion 7^BYD^Sealion 7 | 2024-present^BYD[Sealion 7 | 2024-present^BYD^S7^^suv^^BYD Sealion 7^
Shark 6^BYD^Shark 6 | 2024-present ^BYD[Shark 6 | 2024-present ^BYD^SH^^pickup^^^
Tang^BYD^Tang | 2021-present^BYD[Tang | 2021-present^BYD^TA^^suv^^BYD Tang^
CTS I^Cadillac^CTS | 2002-2007^Cadillac[CTS | 2002-2007^CAD^CT^^4d^^Cadillac CTS^
Escalade I (GMT400)^Cadillac^Escalade I (GMT400) | 1998-2000^Cadillac[Escalade I (GMT400) | 1998-2000^CAD^ES^^suv^^Cadillac CTS^
SRX I^Cadillac^SRX I | 2004-2009^Cadillac[SRX I | 2004-2009^CAD^SR^^suv^^^
SRX II^Cadillac^SRX II | 2010-2016^Cadillac[SRX II | 2010-2016^CAD^SR^^suv^^^
432F2^Caterpillar^432F2 | 2015-present^Caterpillar[432F2 | 2015-present^CAT^432^^heavy equipment^^^
Jaecoo 5^Jaecoo^Jaecoo 5 | 2025-present^Jaecoo[Jaecoo 5 | 2025-present^CHE^J5^^suv^^^
Jaecoo 7^Jaecoo^Jaecoo 7 | 2023-present^Jaecoo[Jaecoo 7 | 2023-present^CHE^J7^^suv^^^
Omoda 5^Omoda^Omoda 5 | 2022-present^Omoda[Omoda 5 | 2022-present^CHE^O5^^suv^^^
Omoda 7^Omoda^Omoda 7 | 2025-present^Omoda[Omoda 7 | 2025-present^CHE^O7^^suv^^^
Omoda 9^Omoda^Omoda 9 | 2024-present^Omoda[Omoda 9 | 2024-present^CHE^O9^^suv^^^
Tiggo 4^Chery^Tiggo 4 | 2025-present^Chery[Tiggo 4 | 2025-present^CHE^T4^^suv^^^
Tiggo 7^Chery^Tiggo 7 | 2025-present^Chery[Tiggo 7 | 2025-present^CHE^T7^^suv^^^
Tiggo 8^Chery^Tiggo 8 | 2025-present^Chery[Tiggo 8 | 2025-present^CHE^T8^^suv^^^
Tiggo 9^Chery^Tiggo 9 | 2025-present^Chery[Tiggo 9 | 2025-present^CHE^T9^^suv^^^
Camaro 5 Convertible^Chevrolet - Daewoo^Camaro 5 | 2009-2015^Chevrolet - Daewoo[Camaro 5 | 2009-2015^CHE^CA5^^2d^^Daewoo^
Camaro 6 Convertible^Chevrolet - Daewoo^Camaro 6 | 2016-present^Chevrolet - Daewoo[Camaro 6 | 2016-present^CHE^CA6^^2d^^Daewoo^
Camaro Z28 Convertible^Chevrolet - Daewoo^Camaro Z28 | 1994-2002^Chevrolet - Daewoo[Camaro Z28 | 1994-2002^CHE^CAZ^^2d^^Daewoo^
Chevelle Convertible^Chevrolet - Daewoo^Chevelle | 1968-1972^Chevrolet - Daewoo[Chevelle | 1968-1972^CHE^CHE^^2d^^Daewoo^
Corvette Convertible (C3)^Chevrolet - Daewoo^Corvette (C3) | 1968-1982^Chevrolet - Daewoo[Corvette (C3) | 1968-1982^CHE^COR^^2d^^Daewoo^
Corvette Convertible (C5)^Chevrolet - Daewoo^Corvette (C5) | 1997-2004^Chevrolet - Daewoo[Corvette (C5) | 1997-2004^CHE^COR^^2d^^Daewoo^
Corvette Convertible (C6)^Chevrolet - Daewoo^Corvette (C6) | 2005-2013^Chevrolet - Daewoo[Corvette (C6) | 2005-2013^CHE^COR^^2d^^Daewoo^
Alero^Chevrolet - Daewoo^Alero | 1998-2004^Chevrolet - Daewoo[Alero | 1998-2004^CHE^AL^^4d^^Daewoo^
Astro I^Chevrolet - Daewoo^Astro I | 1985-1994^Chevrolet - Daewoo[Astro I | 1985-1994^CHE^AS^^van^^Daewoo^
Aveo (T200)^Chevrolet - Daewoo^Kalos - Aveo (T200 - T250) | 2002-2011^Chevrolet - Daewoo[Kalos - Aveo (T200 - T250) | 2002-2011^CHE^AV^^3d & 4d & 5d^^Chevrolet Aveo^
Aveo (T250 - T300) - Cruze (J300) - Epica - Orlando - Trax - Captiva^Chevrolet - Daewoo^Aveo (T250 & T300) - Cruze (J300) - Epica - Orlando - Trax - Captiva | 2002-2016^Chevrolet - Daewoo[Aveo (T250 & T300) - Cruze (J300) - Epica - Orlando - Trax - Captiva | 2002-2016^CHE^AV^^3d & 4d & 5d^^Chevrolet Aveo^
Aveo (T250)^Chevrolet - Daewoo^Kalos - Aveo (T200 - T250) | 2002-2011^Chevrolet - Daewoo[Kalos - Aveo (T200 - T250) | 2002-2011^CHE^AV^^3d & 4d & 5d^^Chevrolet Aveo^
Aveo (T300)^Chevrolet - Daewoo^Aveo (T300) | 2011-2016^Chevrolet - Daewoo[Aveo (T300) | 2011-2016^CHE^AV^^3d & 4d & 5d^^Chevrolet Aveo^
Blazer (K/K5)^Chevrolet - Daewoo^Blazer (K/K5) | 1969-1994^Chevrolet - Daewoo[Blazer (K/K5) | 1969-1994^CHE^BL^^3d & 5d^^Daewoo^
Captiva^Chevrolet - Daewoo^Captiva | 2006-2016^Chevrolet - Daewoo[Captiva | 2006-2016^CHE^CA^^suv^^Chevrolet Captiva^
Colorado II^Chevrolet - Daewoo^Colorado II | 2012-2016^Chevrolet - Daewoo[Colorado II | 2012-2016^CHE^CO^^pickup^^Chevrolet Colorado^
